method,tp,fp,fn,tn,accuracy,sensitivity,specificity,auc
KNN_oppopredictions.csv,73,95,57,71,.48648648648648648648,.56153846153846153846,.42771084337349397590,.47784986098239110287
LinearSVC_oppopredictions.csv,75,83,55,83,.53378378378378378378,.57692307692307692307,.50000000000000000000,.52113067655236329935
Logistic_oppopredictions.csv,83,96,47,70,.51689189189189189189,.63846153846153846153,.42168674698795180722,.46696014828544949026
RFT_oppopredictions.csv,103,125,27,41,.48648648648648648648,.79230769230769230769,.24698795180722891566,.54008341056533827618
SGD_oppopredictions.csv,60,75,70,91,.51013513513513513513,.46153846153846153846,.54819277108433734939,.51153846153846153846
KNN_supppredictions.csv,84,79,59,87,.55339805825242718446,.58741258741258741258,.52409638554216867469,.47643019630971438200
LinearSVC_supppredictions.csv,90,77,53,89,.57928802588996763754,.62937062937062937062,.53614457831325301204,.60759120397674614542
Logistic_supppredictions.csv,102,90,41,76,.57605177993527508090,.71328671328671328671,.45783132530120481927,.49759878675541326143
RFT_supppredictions.csv,112,107,31,59,.55339805825242718446,.78321678321678321678,.35542168674698795180,.57054090487825427584
SGD_supppredictions.csv,67,64,76,102,.54692556634304207119,.46853146853146853146,.61445783132530120481,.58964529446457157300
